cep,erro
41810976,CEP inv?lido ou n?o encontrado
41810980,CEP inv?lido ou n?o encontrado
41900222,CEP inv?lido ou n?o encontrado
41920620,CEP inv?lido ou n?o encontrado
41925675,CEP inv?lido ou n?o encontrado
41925690,CEP inv?lido ou n?o encontrado
44118970,CEP inv?lido ou n?o encontrado
45607970,CEP inv?lido ou n?o encontrado
45654360,CEP inv?lido ou n?o encontrado
56318690,CEP inv?lido ou n?o encontrado
57042551,CEP inv?lido ou n?o encontrado
57042552,CEP inv?lido ou n?o encontrado
57072234,CEP inv?lido ou n?o encontrado
58300710,CEP inv?lido ou n?o encontrado
58303230,CEP inv?lido ou n?o encontrado
58307220,CEP inv?lido ou n?o encontrado
58309824,CEP inv?lido ou n?o encontrado
58309858,CEP inv?lido ou n?o encontrado
59957970,CEP inv?lido ou n?o encontrado
60030971,CEP inv?lido ou n?o encontrado
60055972,CEP inv?lido ou n?o encontrado
60110352,CEP inv?lido ou n?o encontrado
60115970,CEP inv?lido ou n?o encontrado
60125973,CEP inv?lido ou n?o encontrado
60410975,CEP inv?lido ou n?o encontrado
60732610,CEP inv?lido ou n?o encontrado
60835342,CEP inv?lido ou n?o encontrado
62033140,CEP inv?lido ou n?o encontrado
62041380,CEP inv?lido ou n?o encontrado
62504835,CEP inv?lido ou n?o encontrado
63024540,CEP inv?lido ou n?o encontrado
63050971,CEP inv?lido ou n?o encontrado
63214972,CEP inv?lido ou n?o encontrado
65040970,CEP inv?lido ou n?o encontrado
65068748,CEP inv?lido ou n?o encontrado
65068786,CEP inv?lido ou n?o encontrado
65068790,CEP inv?lido ou n?o encontrado
68115971,CEP inv?lido ou n?o encontrado
68125971,CEP inv?lido ou n?o encontrado
68647971,CEP inv?lido ou n?o encontrado
68735970,CEP inv?lido ou n?o encontrado
68906975,CEP inv?lido ou n?o encontrado
69090973,CEP inv?lido ou n?o encontrado
69307051,CEP inv?lido ou n?o encontrado
69310970,CEP inv?lido ou n?o encontrado
69421970,CEP inv?lido ou n?o encontrado
69559970,CEP inv?lido ou n?o encontrado
69600971,CEP inv?lido ou n?o encontrado
69735000,CEP inv?lido ou n?o encontrado
70380970,CEP inv?lido ou n?o encontrado
71635999,CEP inv?lido ou n?o encontrado
71681970,CEP inv?lido ou n?o encontrado
71697540,CEP inv?lido ou n?o encontrado
71699573,CEP inv?lido ou n?o encontrado
71950440,CEP inv?lido ou n?o encontrado
71951000,CEP inv?lido ou n?o encontrado
71953360,CEP inv?lido ou n?o encontrado
71953540,CEP inv?lido ou n?o encontrado
71961000,CEP inv?lido ou n?o encontrado
71966720,CEP inv?lido ou n?o encontrado
71969180,CEP inv?lido ou n?o encontrado
71974970,CEP inv?lido ou n?o encontrado
72001115,CEP inv?lido ou n?o encontrado
72001430,CEP inv?lido ou n?o encontrado
72001465,CEP inv?lido ou n?o encontrado
72001530,CEP inv?lido ou n?o encontrado
72001540,CEP inv?lido ou n?o encontrado
72001545,CEP inv?lido ou n?o encontrado
72001550,CEP inv?lido ou n?o encontrado
72001580,CEP inv?lido ou n?o encontrado
72001585,CEP inv?lido ou n?o encontrado
72001650,CEP inv?lido ou n?o encontrado
72001660,CEP inv?lido ou n?o encontrado
